"","age","job","education","default","month","duration","poutcome","Subscription"
"47",57,"admin.","university.degree","no","may",616,"nonexistent","no"
"48",40,"blue-collar","basic.9y","no","may",178,"nonexistent","no"
"49",35,"admin.","university.degree","no","may",355,"nonexistent","no"
"50",45,"blue-collar","basic.9y","no","may",225,"nonexistent","no"
"51",54,"admin.","high.school","no","may",160,"nonexistent","no"
"52",39,"housemaid","basic.4y","no","may",266,"nonexistent","no"
"53",60,"admin.","high.school","no","may",253,"nonexistent","no"
"54",53,"admin.","professional.course","no","may",179,"nonexistent","no"
"55",55,"blue-collar","basic.4y","unknown","may",269,"nonexistent","no"
"56",55,"technician","professional.course","unknown","may",135,"nonexistent","no"
"57",50,"management","university.degree","unknown","may",161,"nonexistent","no"
"58",45,"services","high.school","unknown","may",787,"nonexistent","no"
"59",55,"unemployed","professional.course","unknown","may",145,"nonexistent","no"
"60",25,"technician","university.degree","no","may",174,"nonexistent","no"
"61",47,"entrepreneur","university.degree","unknown","may",449,"nonexistent","no"
"62",51,"blue-collar","basic.9y","no","may",812,"nonexistent","no"
"63",42,"blue-collar","basic.6y","unknown","may",164,"nonexistent","no"
"64",42,"blue-collar","basic.6y","unknown","may",366,"nonexistent","no"
"65",48,"admin.","high.school","no","may",357,"nonexistent","no"
"66",37,"admin.","university.degree","no","may",232,"nonexistent","no"
"67",44,"blue-collar","basic.9y","no","may",91,"nonexistent","no"
"68",33,"admin.","unknown","no","may",273,"nonexistent","no"
"69",56,"admin.","basic.9y","no","may",158,"nonexistent","no"
"70",44,"blue-collar","basic.4y","unknown","may",177,"nonexistent","no"
"71",41,"management","basic.6y","no","may",200,"nonexistent","no"
"72",44,"management","university.degree","no","may",172,"nonexistent","no"
"73",47,"admin.","university.degree","unknown","may",176,"nonexistent","no"
"74",57,"unknown","unknown","unknown","may",211,"nonexistent","no"
"75",37,"admin.","university.degree","unknown","may",214,"nonexistent","no"
"76",41,"blue-collar","basic.4y","unknown","may",1575,"nonexistent","yes"
"77",55,"technician","university.degree","no","may",349,"nonexistent","no"
"78",33,"services","high.school","unknown","may",337,"nonexistent","no"
"79",55,"management","unknown","unknown","may",272,"nonexistent","no"
"80",42,"blue-collar","basic.9y","unknown","may",208,"nonexistent","no"
"81",50,"blue-collar","basic.4y","unknown","may",193,"nonexistent","no"
"82",51,"blue-collar","basic.4y","unknown","may",212,"nonexistent","no"
"83",38,"admin.","high.school","unknown","may",165,"nonexistent","no"
"84",49,"entrepreneur","university.degree","unknown","may",1042,"nonexistent","yes"
"85",38,"technician","university.degree","no","may",20,"nonexistent","no"
"86",31,"admin.","high.school","no","may",246,"nonexistent","no"
"87",41,"management","basic.6y","no","may",529,"nonexistent","no"
"88",39,"admin.","university.degree","no","may",192,"nonexistent","no"
"89",49,"technician","basic.9y","no","may",1467,"nonexistent","yes"
"90",34,"admin.","high.school","no","may",188,"nonexistent","no"
"91",35,"admin.","university.degree","no","may",180,"nonexistent","no"
"92",57,"unknown","unknown","unknown","may",48,"nonexistent","no"
"93",60,"admin.","unknown","unknown","may",213,"nonexistent","no"
"94",33,"unemployed","basic.9y","no","may",545,"nonexistent","no"
"95",42,"blue-collar","basic.6y","no","may",583,"nonexistent","no"
"96",45,"services","professional.course","no","may",221,"nonexistent","no"
"97",42,"management","university.degree","no","may",426,"nonexistent","no"
"98",53,"admin.","university.degree","unknown","may",287,"nonexistent","no"
"99",37,"technician","professional.course","no","may",197,"nonexistent","no"
"100",44,"blue-collar","basic.6y","no","may",257,"nonexistent","no"
"101",54,"services","unknown","no","may",229,"nonexistent","no"
"102",49,"blue-collar","basic.4y","no","may",55,"nonexistent","no"
"103",54,"services","unknown","no","may",400,"nonexistent","no"
"104",52,"admin.","university.degree","no","may",197,"nonexistent","no"
"105",52,"admin.","university.degree","no","may",190,"nonexistent","no"
"106",43,"services","high.school","unknown","may",21,"nonexistent","no"
"107",34,"housemaid","basic.6y","no","may",300,"nonexistent","no"
"108",35,"admin.","high.school","no","may",123,"nonexistent","no"
"109",42,"entrepreneur","unknown","unknown","may",293,"nonexistent","no"
"110",43,"technician","unknown","unknown","may",325,"nonexistent","no"
"111",60,"retired","university.degree","unknown","may",514,"nonexistent","no"
"112",58,"unemployed","basic.4y","unknown","may",849,"nonexistent","no"
"113",35,"services","high.school","no","may",194,"nonexistent","no"
"114",55,"blue-collar","basic.9y","unknown","may",212,"nonexistent","no"
"115",37,"management","university.degree","no","may",337,"nonexistent","no"
"116",36,"blue-collar","high.school","no","may",286,"nonexistent","no"
"117",52,"admin.","university.degree","no","may",247,"nonexistent","no"
"118",57,"blue-collar","unknown","unknown","may",518,"nonexistent","no"
"119",56,"admin.","unknown","no","may",364,"nonexistent","no"
"120",48,"blue-collar","basic.4y","unknown","may",178,"nonexistent","no"
"121",40,"blue-collar","high.school","unknown","may",98,"nonexistent","no"
"122",49,"blue-collar","high.school","no","may",439,"nonexistent","no"
"123",41,"services","high.school","no","may",139,"nonexistent","no"
"124",45,"technician","high.school","no","may",79,"nonexistent","no"
"125",32,"admin.","university.degree","no","may",175,"nonexistent","no"
"126",42,"admin.","university.degree","no","may",262,"nonexistent","no"
"127",50,"admin.","basic.6y","no","may",61,"nonexistent","no"
"128",31,"technician","professional.course","no","may",78,"nonexistent","no"
"129",56,"retired","basic.4y","no","may",102,"nonexistent","no"
"130",41,"technician","professional.course","unknown","may",579,"nonexistent","yes"
"131",37,"blue-collar","basic.6y","no","may",143,"nonexistent","no"
"132",41,"technician","professional.course","unknown","may",677,"nonexistent","no"
"133",35,"blue-collar","unknown","no","may",267,"nonexistent","no"
"134",37,"blue-collar","basic.6y","no","may",345,"nonexistent","no"
"135",52,"management","university.degree","no","may",185,"nonexistent","no"
"136",39,"management","university.degree","no","may",207,"nonexistent","no"
"137",39,"housemaid","basic.4y","unknown","may",69,"nonexistent","no"
"138",56,"blue-collar","basic.4y","unknown","may",100,"nonexistent","no"
"139",34,"services","high.school","no","may",125,"nonexistent","no"
"140",45,"blue-collar","basic.9y","unknown","may",461,"nonexistent","yes"
"141",43,"unemployed","university.degree","no","may",240,"nonexistent","no"
"142",56,"management","unknown","no","may",70,"nonexistent","no"
"143",39,"management","university.degree","no","may",193,"nonexistent","no"
"144",53,"blue-collar","basic.4y","no","may",136,"nonexistent","no"
"145",38,"unknown","high.school","unknown","may",73,"nonexistent","no"
"146",42,"blue-collar","basic.4y","unknown","may",528,"nonexistent","no"
"147",42,"blue-collar","basic.4y","unknown","may",541,"nonexistent","no"
"148",35,"admin.","high.school","no","may",338,"nonexistent","no"
"149",40,"admin.","university.degree","unknown","may",163,"nonexistent","no"
"150",51,"blue-collar","basic.4y","no","may",87,"nonexistent","no"
"151",60,"blue-collar","basic.9y","unknown","may",301,"nonexistent","no"
"152",56,"entrepreneur","unknown","unknown","may",46,"nonexistent","no"
"153",39,"services","high.school","unknown","may",52,"nonexistent","no"
"154",56,"entrepreneur","unknown","unknown","may",204,"nonexistent","no"
"155",40,"blue-collar","unknown","no","may",155,"nonexistent","no"
"156",36,"blue-collar","basic.9y","no","may",98,"nonexistent","no"
"157",51,"blue-collar","unknown","unknown","may",71,"nonexistent","no"
"158",51,"blue-collar","unknown","unknown","may",243,"nonexistent","no"
"159",43,"technician","professional.course","no","may",186,"nonexistent","no"
"160",59,"services","high.school","no","may",579,"nonexistent","no"
"161",24,"management","university.degree","no","may",165,"nonexistent","no"
"162",37,"blue-collar","basic.9y","unknown","may",163,"nonexistent","no"
"163",40,"blue-collar","basic.9y","unknown","may",46,"nonexistent","no"
"164",42,"blue-collar","basic.9y","unknown","may",559,"nonexistent","no"
"165",39,"services","high.school","unknown","may",2033,"nonexistent","no"
"166",37,"entrepreneur","basic.6y","no","may",85,"nonexistent","no"
"167",38,"services","high.school","no","may",506,"nonexistent","no"
"168",56,"admin.","unknown","unknown","may",114,"nonexistent","no"
"169",40,"blue-collar","unknown","no","may",114,"nonexistent","no"
"170",54,"management","university.degree","no","may",843,"nonexistent","no"
"171",43,"blue-collar","high.school","unknown","may",181,"nonexistent","no"
"172",36,"services","high.school","unknown","may",427,"nonexistent","no"
"173",45,"technician","university.degree","no","may",292,"nonexistent","no"
"174",42,"admin.","university.degree","unknown","may",192,"nonexistent","no"
"175",43,"services","high.school","no","may",93,"nonexistent","no"
"176",46,"management","basic.9y","no","may",128,"nonexistent","no"
"177",44,"services","high.school","no","may",107,"nonexistent","no"
"178",51,"admin.","basic.6y","no","may",303,"nonexistent","no"
"179",28,"services","high.school","no","may",81,"nonexistent","no"
"180",37,"blue-collar","basic.9y","no","may",270,"nonexistent","no"
"181",34,"technician","high.school","no","may",228,"nonexistent","no"
"182",46,"blue-collar","basic.6y","unknown","may",240,"nonexistent","no"
"183",42,"blue-collar","basic.9y","no","may",673,"nonexistent","yes"
"184",36,"admin.","university.degree","no","may",233,"nonexistent","no"
"185",54,"blue-collar","basic.4y","unknown","may",102,"nonexistent","no"
"186",57,"management","university.degree","no","may",461,"nonexistent","no"
"187",51,"technician","basic.6y","unknown","may",250,"nonexistent","no"
"188",54,"retired","high.school","unknown","may",130,"nonexistent","no"
"189",49,"blue-collar","basic.4y","unknown","may",252,"nonexistent","no"
"190",34,"admin.","university.degree","no","may",138,"nonexistent","no"
"191",41,"technician","professional.course","no","may",412,"nonexistent","no"
"192",38,"blue-collar","basic.9y","no","may",179,"nonexistent","no"
"193",45,"management","university.degree","no","may",19,"nonexistent","no"
"194",42,"technician","university.degree","no","may",228,"nonexistent","no"
"195",34,"blue-collar","basic.9y","unknown","may",55,"nonexistent","no"
"196",48,"blue-collar","basic.4y","no","may",717,"nonexistent","no"
"197",37,"admin.","high.school","unknown","may",313,"nonexistent","no"
"198",34,"blue-collar","basic.9y","unknown","may",289,"nonexistent","no"
"199",40,"admin.","basic.9y","unknown","may",683,"nonexistent","no"
"200",43,"blue-collar","basic.6y","no","may",1077,"nonexistent","no"
"201",33,"services","high.school","no","may",146,"nonexistent","no"
"202",32,"services","basic.6y","no","may",167,"nonexistent","no"
"203",39,"blue-collar","high.school","no","may",356,"nonexistent","no"
"204",43,"admin.","unknown","no","may",277,"nonexistent","no"
"205",44,"blue-collar","basic.9y","no","may",172,"nonexistent","no"
"206",35,"student","university.degree","unknown","may",218,"nonexistent","no"
"207",35,"student","university.degree","unknown","may",217,"nonexistent","no"
"208",35,"unemployed","professional.course","no","may",67,"nonexistent","no"
"209",36,"services","basic.4y","no","may",291,"nonexistent","no"
"210",35,"student","university.degree","unknown","may",248,"nonexistent","no"
"211",36,"student","basic.9y","no","may",256,"nonexistent","no"
"212",55,"housemaid","university.degree","no","may",286,"nonexistent","no"
"213",59,"admin.","university.degree","no","may",477,"nonexistent","no"
"214",57,"retired","unknown","unknown","may",611,"nonexistent","no"
"215",39,"blue-collar","professional.course","unknown","may",471,"nonexistent","no"
"216",39,"housemaid","basic.4y","unknown","may",381,"nonexistent","no"
"217",30,"blue-collar","unknown","no","may",251,"nonexistent","no"
"218",30,"blue-collar","unknown","no","may",408,"nonexistent","no"
"219",50,"housemaid","basic.4y","unknown","may",287,"nonexistent","no"
"220",40,"services","high.school","no","may",322,"nonexistent","no"
"221",35,"admin.","high.school","no","may",216,"nonexistent","no"
"222",43,"technician","unknown","unknown","may",366,"nonexistent","no"
"223",36,"services","basic.6y","unknown","may",210,"nonexistent","no"
"224",46,"technician","basic.4y","unknown","may",288,"nonexistent","no"
"225",40,"technician","basic.9y","no","may",168,"nonexistent","no"
"226",58,"retired","university.degree","no","may",132,"nonexistent","no"
"227",42,"technician","university.degree","no","may",64,"nonexistent","no"
"228",35,"admin.","university.degree","no","may",209,"nonexistent","no"
"229",43,"retired","basic.4y","unknown","may",410,"nonexistent","no"
"230",45,"blue-collar","basic.4y","no","may",177,"nonexistent","no"
"231",39,"admin.","professional.course","no","may",580,"nonexistent","no"
"232",50,"services","professional.course","no","may",165,"nonexistent","no"
"233",32,"management","basic.4y","unknown","may",127,"nonexistent","no"
"234",39,"admin.","high.school","unknown","may",357,"nonexistent","no"
"235",52,"self-employed","university.degree","unknown","may",175,"nonexistent","no"
"236",44,"admin.","professional.course","no","may",300,"nonexistent","no"
"237",56,"blue-collar","basic.4y","no","may",136,"nonexistent","no"
"238",48,"admin.","high.school","no","may",125,"nonexistent","no"
"239",33,"services","high.school","unknown","may",189,"nonexistent","no"
"240",43,"management","university.degree","unknown","may",213,"nonexistent","no"
"241",57,"retired","high.school","no","may",238,"nonexistent","no"
"242",36,"technician","professional.course","no","may",124,"nonexistent","no"
"243",34,"management","university.degree","no","may",18,"nonexistent","no"
"244",34,"services","basic.9y","no","may",730,"nonexistent","no"
"245",30,"technician","university.degree","unknown","may",40,"nonexistent","no"
"246",33,"services","unknown","no","may",181,"nonexistent","no"
"247",32,"technician","professional.course","no","may",79,"nonexistent","no"
"248",36,"technician","high.school","no","may",142,"nonexistent","no"
"249",36,"blue-collar","high.school","no","may",389,"nonexistent","no"
"250",33,"services","high.school","no","may",702,"nonexistent","no"
"251",40,"technician","professional.course","no","may",151,"nonexistent","no"
"252",41,"blue-collar","basic.4y","no","may",211,"nonexistent","no"
"253",51,"services","basic.6y","no","may",117,"nonexistent","no"
"254",36,"technician","professional.course","no","may",232,"nonexistent","no"
"255",28,"services","unknown","no","may",408,"nonexistent","no"
"256",53,"services","high.school","no","may",370,"nonexistent","no"
"257",58,"blue-collar","basic.9y","unknown","may",179,"nonexistent","no"
"258",45,"management","basic.9y","no","may",46,"nonexistent","no"
"259",43,"technician","unknown","no","may",200,"nonexistent","no"
"260",33,"admin.","high.school","no","may",50,"nonexistent","no"
"261",33,"admin.","high.school","no","may",181,"nonexistent","no"
"262",27,"blue-collar","basic.6y","no","may",119,"nonexistent","no"
"263",42,"technician","high.school","no","may",361,"nonexistent","no"
"264",43,"admin.","basic.9y","no","may",73,"nonexistent","no"
"265",42,"admin.","university.degree","no","may",67,"nonexistent","no"
"266",27,"blue-collar","basic.6y","no","may",350,"nonexistent","no"
"267",34,"self-employed","university.degree","no","may",150,"nonexistent","no"
"268",31,"student","university.degree","unknown","may",332,"nonexistent","no"
"269",54,"management","university.degree","no","may",611,"nonexistent","no"
"270",40,"self-employed","basic.4y","unknown","may",58,"nonexistent","no"
"271",52,"unemployed","high.school","unknown","may",151,"nonexistent","no"
"272",47,"management","university.degree","no","may",89,"nonexistent","no"
"273",49,"housemaid","basic.9y","unknown","may",152,"nonexistent","no"
"274",32,"admin.","high.school","no","may",611,"nonexistent","no"
"275",49,"housemaid","high.school","unknown","may",110,"nonexistent","no"
"276",50,"blue-collar","basic.9y","unknown","may",463,"nonexistent","no"
"277",34,"services","high.school","no","may",962,"nonexistent","no"
"278",55,"blue-collar","basic.4y","unknown","may",102,"nonexistent","no"
"279",47,"technician","basic.9y","no","may",10,"nonexistent","no"
"280",51,"retired","professional.course","no","may",118,"nonexistent","no"
"281",47,"blue-collar","basic.6y","no","may",92,"nonexistent","no"
"282",56,"technician","basic.4y","no","may",143,"nonexistent","no"
"283",53,"admin.","basic.9y","no","may",189,"nonexistent","no"
"284",36,"blue-collar","basic.9y","no","may",75,"nonexistent","no"
"285",42,"blue-collar","basic.9y","no","may",189,"nonexistent","no"
"286",44,"blue-collar","basic.6y","no","may",55,"nonexistent","no"
"287",39,"housemaid","basic.9y","no","may",935,"nonexistent","yes"
"288",37,"admin.","high.school","no","may",56,"nonexistent","no"
"289",60,"blue-collar","unknown","unknown","may",5,"nonexistent","no"
"290",36,"services","high.school","no","may",225,"nonexistent","no"
"291",42,"management","university.degree","no","may",125,"nonexistent","no"
"292",31,"admin.","high.school","no","may",286,"nonexistent","no"
"293",53,"technician","professional.course","unknown","may",206,"nonexistent","no"
"294",45,"blue-collar","basic.4y","no","may",164,"nonexistent","no"
"295",37,"technician","professional.course","no","may",98,"nonexistent","no"
"296",47,"self-employed","professional.course","no","may",446,"nonexistent","no"
"297",49,"blue-collar","high.school","no","may",742,"nonexistent","no"
"298",36,"admin.","university.degree","no","may",120,"nonexistent","no"
"299",35,"services","high.school","no","may",122,"nonexistent","no"
"300",38,"unknown","unknown","unknown","may",362,"nonexistent","no"
"301",38,"services","high.school","unknown","may",357,"nonexistent","no"
"302",50,"blue-collar","high.school","unknown","may",200,"nonexistent","no"
"303",59,"retired","professional.course","unknown","may",107,"nonexistent","no"
"304",43,"unknown","unknown","no","may",267,"nonexistent","no"
"305",42,"admin.","high.school","no","may",248,"nonexistent","no"
"306",40,"admin.","basic.6y","unknown","may",215,"nonexistent","no"
"307",46,"blue-collar","unknown","unknown","may",209,"nonexistent","no"
"308",57,"housemaid","basic.4y","no","may",205,"nonexistent","no"
"309",42,"admin.","university.degree","no","may",261,"nonexistent","no"
"310",41,"blue-collar","basic.4y","no","may",83,"nonexistent","no"
"311",54,"management","university.degree","no","may",106,"nonexistent","no"
"312",27,"admin.","university.degree","no","may",106,"nonexistent","no"
"313",36,"admin.","high.school","no","may",108,"nonexistent","no"
"314",58,"blue-collar","professional.course","unknown","may",214,"nonexistent","no"
"315",40,"management","university.degree","unknown","may",358,"nonexistent","no"
"316",34,"admin.","basic.9y","unknown","may",453,"nonexistent","no"
"317",33,"admin.","high.school","no","may",364,"nonexistent","no"
"318",56,"retired","basic.6y","no","may",136,"nonexistent","no"
"319",42,"blue-collar","basic.9y","no","may",173,"nonexistent","no"
"320",43,"services","high.school","no","may",241,"nonexistent","no"
"321",54,"management","basic.9y","no","may",224,"nonexistent","no"
"322",53,"admin.","basic.6y","no","may",148,"nonexistent","no"
"323",42,"technician","unknown","no","may",230,"nonexistent","no"
"324",40,"services","basic.6y","unknown","may",199,"nonexistent","no"
"325",54,"technician","professional.course","no","may",196,"nonexistent","no"
"326",40,"housemaid","professional.course","no","may",111,"nonexistent","no"
"327",26,"admin.","university.degree","no","may",231,"nonexistent","no"
"328",33,"admin.","high.school","no","may",316,"nonexistent","no"
"329",35,"blue-collar","basic.9y","unknown","may",240,"nonexistent","no"
"330",36,"admin.","high.school","no","may",669,"nonexistent","no"
"331",29,"services","high.school","no","may",425,"nonexistent","no"
"332",36,"blue-collar","basic.9y","no","may",121,"nonexistent","no"
"333",35,"management","high.school","no","may",174,"nonexistent","no"
"334",50,"self-employed","university.degree","no","may",88,"nonexistent","no"
"335",46,"services","high.school","unknown","may",313,"nonexistent","no"
"336",49,"entrepreneur","high.school","no","may",135,"nonexistent","no"
"337",42,"technician","professional.course","unknown","may",152,"nonexistent","no"
"338",36,"blue-collar","high.school","no","may",402,"nonexistent","no"
"339",55,"blue-collar","basic.9y","unknown","may",221,"nonexistent","no"
"340",41,"management","university.degree","unknown","may",213,"nonexistent","no"
"341",57,"management","professional.course","unknown","may",144,"nonexistent","no"
"342",32,"services","high.school","no","may",158,"nonexistent","no"
"343",49,"admin.","basic.9y","no","may",220,"nonexistent","no"
"344",57,"unknown","unknown","unknown","may",325,"nonexistent","no"
"345",58,"blue-collar","basic.4y","no","may",254,"nonexistent","no"
"346",52,"technician","high.school","no","may",503,"nonexistent","no"
"347",50,"services","professional.course","no","may",680,"nonexistent","no"
"348",41,"blue-collar","basic.9y","unknown","may",421,"nonexistent","no"
"349",33,"entrepreneur","university.degree","no","may",130,"nonexistent","no"
"350",57,"blue-collar","basic.4y","no","may",164,"nonexistent","no"
"351",48,"blue-collar","basic.6y","unknown","may",174,"nonexistent","no"
"352",55,"technician","professional.course","no","may",113,"nonexistent","no"
"353",38,"management","university.degree","no","may",195,"nonexistent","no"
"354",38,"services","high.school","no","may",347,"nonexistent","no"
"355",53,"admin.","university.degree","no","may",208,"nonexistent","no"
"356",43,"unemployed","university.degree","no","may",404,"nonexistent","no"
"357",36,"blue-collar","high.school","no","may",396,"nonexistent","no"
"358",32,"blue-collar","basic.9y","no","may",98,"nonexistent","no"
"359",33,"services","basic.4y","no","may",229,"nonexistent","no"
"360",58,"entrepreneur","basic.4y","no","may",350,"nonexistent","no"
"361",40,"unemployed","high.school","unknown","may",88,"nonexistent","no"
"362",57,"management","university.degree","no","may",379,"nonexistent","no"
"363",45,"technician","high.school","no","may",168,"nonexistent","no"
"364",42,"blue-collar","basic.4y","unknown","may",190,"nonexistent","no"
"365",46,"admin.","university.degree","no","may",158,"nonexistent","no"
"366",36,"technician","university.degree","no","may",210,"nonexistent","no"
"367",41,"self-employed","high.school","no","may",102,"nonexistent","no"
"368",57,"admin.","basic.9y","no","may",306,"nonexistent","no"
"369",49,"blue-collar","basic.9y","unknown","may",64,"nonexistent","no"
"370",56,"management","high.school","no","may",218,"nonexistent","no"
"371",37,"blue-collar","basic.9y","no","may",77,"nonexistent","no"
"372",37,"blue-collar","basic.9y","no","may",54,"nonexistent","no"
"373",46,"admin.","high.school","no","may",344,"nonexistent","no"
"374",22,"blue-collar","basic.9y","no","may",195,"nonexistent","no"
"375",43,"services","high.school","no","may",202,"nonexistent","no"
"376",49,"blue-collar","unknown","no","may",286,"nonexistent","no"
"377",41,"technician","basic.6y","no","may",278,"nonexistent","no"
"378",38,"admin.","university.degree","no","may",189,"nonexistent","no"
"379",33,"admin.","basic.9y","no","may",83,"nonexistent","no"
"380",49,"admin.","university.degree","no","may",18,"nonexistent","no"
"381",30,"blue-collar","unknown","no","may",184,"nonexistent","no"
"382",33,"admin.","basic.9y","no","may",235,"nonexistent","no"
"383",34,"management","university.degree","no","may",290,"nonexistent","no"
"384",30,"student","unknown","unknown","may",133,"nonexistent","no"
"385",59,"management","basic.4y","unknown","may",318,"nonexistent","no"
"386",59,"management","basic.4y","unknown","may",437,"nonexistent","no"
"387",41,"self-employed","university.degree","no","may",402,"nonexistent","no"
"388",48,"housemaid","basic.6y","unknown","may",501,"nonexistent","no"
"389",28,"unknown","unknown","unknown","may",1201,"nonexistent","yes"
"390",44,"services","high.school","no","may",1030,"nonexistent","yes"
"391",59,"retired","university.degree","unknown","may",253,"nonexistent","no"
"392",50,"management","high.school","unknown","may",149,"nonexistent","no"
"393",35,"admin.","university.degree","no","may",144,"nonexistent","no"
"394",42,"admin.","high.school","no","may",69,"nonexistent","no"
"395",45,"admin.","basic.9y","no","may",243,"nonexistent","no"
"396",36,"technician","professional.course","no","may",769,"nonexistent","no"
"397",56,"services","high.school","unknown","may",135,"nonexistent","no"
"398",29,"blue-collar","basic.4y","no","may",231,"nonexistent","no"
"399",41,"self-employed","university.degree","no","may",442,"nonexistent","no"
"400",42,"blue-collar","basic.9y","unknown","may",199,"nonexistent","no"
"401",52,"services","high.school","no","may",455,"nonexistent","no"
"402",48,"services","high.school","unknown","may",152,"nonexistent","no"
"403",31,"blue-collar","high.school","unknown","may",124,"nonexistent","no"
"404",43,"unemployed","university.degree","unknown","may",424,"nonexistent","no"
"405",36,"blue-collar","basic.4y","unknown","may",43,"nonexistent","no"
"406",42,"entrepreneur","university.degree","no","may",154,"nonexistent","no"
"407",52,"services","basic.6y","no","may",393,"nonexistent","no"
"408",39,"admin.","high.school","no","may",203,"nonexistent","no"
"409",36,"services","high.school","no","may",140,"nonexistent","no"
"410",42,"blue-collar","basic.9y","unknown","may",326,"nonexistent","no"
"411",41,"admin.","high.school","no","may",483,"nonexistent","no"
"412",55,"technician","basic.4y","no","may",259,"nonexistent","no"
"413",30,"blue-collar","basic.9y","no","may",227,"nonexistent","no"
"414",57,"retired","basic.4y","no","may",673,"nonexistent","no"
"415",45,"entrepreneur","basic.4y","unknown","may",576,"nonexistent","no"
"416",51,"blue-collar","basic.4y","unknown","may",180,"nonexistent","no"
"417",39,"self-employed","basic.9y","unknown","may",90,"nonexistent","no"
"418",47,"admin.","high.school","unknown","may",505,"nonexistent","no"
"419",27,"services","high.school","no","may",245,"nonexistent","no"
"420",34,"technician","university.degree","no","may",186,"nonexistent","no"
"421",57,"blue-collar","basic.4y","unknown","may",208,"nonexistent","no"
"422",43,"entrepreneur","basic.4y","no","may",623,"nonexistent","no"
"423",49,"blue-collar","basic.4y","unknown","may",180,"nonexistent","no"
"424",39,"management","university.degree","unknown","may",496,"nonexistent","no"
"425",38,"blue-collar","basic.4y","unknown","may",118,"nonexistent","no"
"426",49,"blue-collar","basic.9y","no","may",102,"nonexistent","no"
"427",58,"management","basic.6y","no","may",342,"nonexistent","no"
"428",43,"technician","professional.course","no","may",225,"nonexistent","no"
"429",50,"unknown","unknown","unknown","may",185,"nonexistent","no"
"430",31,"services","high.school","unknown","may",276,"nonexistent","no"
"431",43,"self-employed","university.degree","no","may",87,"nonexistent","no"
"432",43,"self-employed","basic.9y","unknown","may",744,"nonexistent","no"
"433",30,"self-employed","university.degree","no","may",262,"nonexistent","no"
"434",27,"services","professional.course","no","may",271,"nonexistent","no"
"435",51,"services","unknown","unknown","may",141,"nonexistent","no"
"436",37,"technician","professional.course","no","may",198,"nonexistent","no"
"437",46,"housemaid","basic.9y","no","may",150,"nonexistent","no"
"438",35,"blue-collar","professional.course","no","may",241,"nonexistent","no"
