"","job","education","default","contact","month","campaign","previous","poutcome","cons.price.idx","cons.conf.idx","euribor3m","Subscription"
"60","technician","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"61","entrepreneur","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"62","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"63","blue-collar","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"64","blue-collar","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"65","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"66","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"67","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"68","admin.","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"69","admin.","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"70","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"71","management","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"72","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"73","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"74","unknown","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"75","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"76","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"yes"
"77","technician","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"78","services","high.school","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"79","management","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"80","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"81","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"82","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"83","admin.","high.school","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"84","entrepreneur","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"yes"
"85","technician","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"86","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"87","management","basic.6y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"88","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"89","technician","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"yes"
"90","admin.","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"91","admin.","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"92","unknown","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"93","admin.","unknown","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"94","unemployed","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"95","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"96","services","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"97","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"98","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"99","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"100","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"101","services","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"102","blue-collar","basic.4y","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"103","services","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"104","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"105","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"106","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"107","housemaid","basic.6y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"108","admin.","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"109","entrepreneur","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"110","technician","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"111","retired","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"112","unemployed","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"113","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"114","blue-collar","basic.9y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"115","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"116","blue-collar","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"117","admin.","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"118","blue-collar","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"119","admin.","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"120","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"121","blue-collar","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"122","blue-collar","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"123","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"124","technician","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"125","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"126","admin.","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"127","admin.","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"128","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"129","retired","basic.4y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"130","technician","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"yes"
"131","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"132","technician","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"133","blue-collar","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"134","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"135","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"136","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"137","housemaid","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"138","blue-collar","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"139","services","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"140","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"yes"
"141","unemployed","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"142","management","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"143","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"144","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"145","unknown","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"146","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"147","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"148","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"149","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"150","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"151","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"152","entrepreneur","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"153","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"154","entrepreneur","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"155","blue-collar","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"156","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"157","blue-collar","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"158","blue-collar","unknown","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"159","technician","professional.course","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"160","services","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"161","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"162","blue-collar","basic.9y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"163","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"164","blue-collar","basic.9y","unknown","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"165","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"166","entrepreneur","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"167","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"168","admin.","unknown","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"169","blue-collar","unknown","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"170","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"171","blue-collar","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"172","services","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"173","technician","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"174","admin.","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"175","services","high.school","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"176","management","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"177","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"178","admin.","basic.6y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"179","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"180","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"181","technician","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"182","blue-collar","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"183","blue-collar","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"yes"
"184","admin.","university.degree","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"185","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"186","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"187","technician","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"188","retired","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"189","blue-collar","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"190","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"191","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"192","blue-collar","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"193","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"194","technician","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"195","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"196","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"197","admin.","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"198","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"199","admin.","basic.9y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"200","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"201","services","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"202","services","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"203","blue-collar","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"204","admin.","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"205","blue-collar","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"206","student","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"207","student","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"208","unemployed","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"209","services","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"210","student","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"211","student","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"212","housemaid","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"213","admin.","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"214","retired","unknown","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"215","blue-collar","professional.course","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"216","housemaid","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"217","blue-collar","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"218","blue-collar","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"219","housemaid","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"220","services","high.school","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"221","admin.","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"222","technician","unknown","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"223","services","basic.6y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"224","technician","basic.4y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"225","technician","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"226","retired","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"227","technician","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"228","admin.","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"229","retired","basic.4y","unknown","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"230","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"231","admin.","professional.course","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"232","services","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"233","management","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"234","admin.","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"235","self-employed","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"236","admin.","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"237","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"238","admin.","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"239","services","high.school","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"240","management","university.degree","unknown","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"241","retired","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"242","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"243","management","university.degree","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"244","services","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"245","technician","university.degree","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"246","services","unknown","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"247","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"248","technician","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"249","blue-collar","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"250","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"251","technician","professional.course","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"252","blue-collar","basic.4y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"253","services","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"254","technician","professional.course","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"255","services","unknown","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"256","services","high.school","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"257","blue-collar","basic.9y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"258","management","basic.9y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"259","technician","unknown","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"260","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"261","admin.","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"262","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"263","technician","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"264","admin.","basic.9y","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"265","admin.","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"266","blue-collar","basic.6y","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"267","self-employed","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"268","student","university.degree","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"269","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"270","self-employed","basic.4y","unknown","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"271","unemployed","high.school","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"272","management","university.degree","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"273","housemaid","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"274","admin.","high.school","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"275","housemaid","high.school","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"276","blue-collar","basic.9y","unknown","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"277","services","high.school","no","telephone","may",1,0,"nonexistent",93.994,-36.4,4.857,"no"
"278","blue-collar","basic.4y","unknown","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"279","technician","basic.9y","no","telephone","may",4,0,"nonexistent",93.994,-36.4,4.857,"no"
"280","retired","professional.course","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"281","blue-collar","basic.6y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
"282","technician","basic.4y","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"283","admin.","basic.9y","no","telephone","may",3,0,"nonexistent",93.994,-36.4,4.857,"no"
"284","blue-collar","basic.9y","no","telephone","may",2,0,"nonexistent",93.994,-36.4,4.857,"no"
